,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type
1473,1.2,35.93,0.7,15.57,1274.0,54.16,2.71,4.0
1474,1.26,36.73,0.7,16.35,1338.0,54.87,2.74,4.0
1475,2.48,52.85,0.7,32.12,2628.0,69.2,3.46,4.0
1476,1.69,42.34,0.7,21.84,1787.0,59.86,2.99,4.0
1477,1.95,45.81,0.7,25.24,2065.0,62.94,3.15,4.0
1478,1.84,44.35,0.7,23.81,1948.0,61.64,3.08,4.0
1479,1.77,43.38,0.7,22.86,1870.0,60.78,3.04,4.0
1480,1.34,37.75,0.7,17.36,1420.0,55.78,2.79,4.0
1481,1.97,46.05,0.7,25.47,2084.0,63.16,3.16,4.0
1482,1.86,44.64,0.7,24.09,1971.0,61.9,3.1,4.0
1483,1.78,43.58,0.7,23.05,1886.0,60.96,3.05,4.0
1484,1.99,46.34,0.7,25.75,2107.0,63.41,3.17,4.0
1485,1.32,37.46,0.7,17.07,1397.0,55.52,2.78,4.0
1486,1.63,41.54,0.7,21.06,1723.0,59.14,2.96,4.0
1487,1.58,40.89,0.7,20.42,1671.0,58.57,2.93,4.0
1488,1.75,43.14,0.7,22.62,1851.0,60.57,3.03,4.0
1489,1.71,42.6,0.7,22.1,1808.0,60.09,3.0,4.0
1490,2.89,58.23,0.7,37.38,3058.0,73.98,3.7,4.0
1491,2.04,47.01,0.7,26.41,2161.0,64.01,3.2,4.0
1492,1.84,44.38,0.7,23.83,1950.0,61.67,3.08,4.0
1493,2.03,46.83,0.7,26.23,2146.0,63.84,3.19,4.0
1494,1.36,38.06,0.7,17.66,1445.0,56.06,2.8,4.0
1495,1.82,44.11,0.7,23.58,1929.0,61.43,3.07,4.0
1496,2.77,56.63,0.7,35.81,2930.0,72.56,3.63,4.0
1497,1.28,36.9,0.7,16.52,1352.0,55.02,2.75,4.0
1498,3.23,62.76,0.7,41.81,3421.0,78.01,3.9,4.0
1499,2.07,47.35,0.7,26.74,2188.0,64.31,3.22,4.0
