,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type
1779,2.63,54.76,0.7,33.99,2781.0,70.9,3.55,5.0
1780,2.88,58.09,0.7,37.24,3047.0,73.86,3.69,5.0
1781,3.18,62.03,0.7,41.09,3362.0,77.36,3.87,5.0
1782,2.04,46.94,0.7,26.34,2155.0,63.94,3.2,5.0
1783,1.47,39.41,0.7,18.98,1553.0,57.26,2.86,5.0
1784,1.15,35.26,0.7,14.92,1221.0,53.57,2.68,5.0
1785,1.19,35.75,0.7,15.4,1260.0,54.0,2.7,5.0
1786,2.05,47.09,0.7,26.49,2167.0,64.08,3.2,5.0
1787,3.21,62.43,0.7,41.48,3394.0,77.71,3.89,5.0
1788,3.35,64.39,0.7,43.4,3551.0,79.46,3.97,5.0
1789,2.72,55.95,0.7,35.15,2876.0,71.96,3.6,5.0
1790,2.56,53.86,0.7,33.11,2709.0,70.1,3.51,5.0
1791,2.16,48.63,0.7,27.99,2290.0,65.44,3.27,5.0
1792,3.35,64.28,0.7,43.29,3542.0,79.36,3.97,5.0
1793,1.17,35.55,0.7,15.2,1244.0,53.82,2.69,5.0
1794,2.89,58.23,0.7,37.38,3058.0,73.98,3.7,5.0
1795,2.31,50.61,0.7,29.93,2449.0,67.21,3.36,5.0
1796,1.81,43.98,0.7,23.44,1918.0,61.31,3.07,5.0
1797,2.99,59.54,0.7,38.66,3163.0,75.14,3.76,5.0
1798,1.36,38.03,0.7,17.62,1442.0,56.02,2.8,5.0
1799,2.09,47.63,0.7,27.01,2210.0,64.56,3.23,5.0
1800,1.74,42.98,0.7,22.46,1838.0,60.42,3.02,5.0
1801,1.4,38.5,0.7,18.09,1480.0,56.44,2.82,5.0
1802,2.68,55.45,0.7,34.66,2836.0,71.51,3.58,5.0
1803,2.77,56.69,0.7,35.87,2935.0,72.61,3.63,5.0
1804,1.51,39.93,0.7,19.48,1594.0,57.71,2.89,5.0
1805,1.69,42.33,0.7,21.83,1786.0,59.84,2.99,5.0
1806,2.22,49.35,0.7,28.7,2348.0,66.09,3.3,5.0
1807,2.63,54.81,0.7,34.04,2785.0,70.94,3.55,5.0
1808,2.18,48.91,0.7,28.27,2313.0,65.7,3.29,5.0
1809,1.54,40.39,0.7,19.93,1631.0,58.12,2.91,5.0
1810,1.64,41.66,0.7,21.18,1733.0,59.26,2.96,5.0
1811,2.38,51.54,0.7,30.84,2523.0,68.03,3.4,5.0
1812,1.87,44.78,0.7,24.22,1982.0,62.02,3.1,5.0
1813,2.43,52.14,0.7,31.42,2571.0,68.57,3.43,5.0
1814,1.61,41.26,0.7,20.79,1701.0,58.9,2.95,5.0
1815,1.88,44.94,0.7,24.38,1995.0,62.17,3.11,5.0
1816,2.43,52.14,0.7,31.42,2571.0,68.57,3.43,5.0
1817,1.77,43.45,0.7,22.93,1876.0,60.84,3.04,5.0
1818,2.32,50.73,0.7,30.04,2458.0,67.31,3.37,5.0
1819,3.01,59.79,0.7,38.9,3183.0,75.37,3.77,5.0
1820,1.48,39.55,0.7,19.12,1564.0,57.38,2.87,5.0
1821,2.04,46.98,0.7,26.38,2158.0,63.98,3.2,5.0
1822,1.72,42.74,0.7,22.23,1819.0,60.21,3.01,5.0
1823,2.09,47.69,0.7,27.07,2215.0,64.61,3.23,5.0
1824,1.5,39.9,0.7,19.46,1592.0,57.69,2.88,5.0
1825,2.76,56.58,0.7,35.76,2926.0,72.51,3.63,5.0
1826,2.19,48.96,0.7,28.32,2317.0,65.74,3.29,5.0
1827,3.21,62.44,0.7,41.49,3395.0,77.72,3.89,5.0
1828,2.08,47.49,0.7,26.88,2199.0,64.43,3.22,5.0
1829,2.81,57.23,0.7,36.4,2978.0,73.09,3.65,5.0
1830,1.2,35.9,0.7,15.55,1272.0,54.13,2.71,5.0
1831,3.14,61.55,0.7,40.63,3324.0,76.93,3.85,5.0
1832,3.23,62.69,0.7,41.74,3415.0,77.94,3.9,5.0
1833,1.79,43.71,0.7,23.19,1897.0,61.08,3.05,5.0
1834,1.39,38.38,0.7,17.97,1470.0,56.33,2.82,5.0
1835,3.08,60.81,0.7,39.91,3265.0,76.28,3.81,5.0
1836,2.56,53.88,0.7,33.12,2710.0,70.11,3.51,5.0
1837,3.12,61.35,0.7,40.43,3308.0,76.76,3.84,5.0
1838,1.21,35.95,0.7,15.6,1276.0,54.18,2.71,5.0
1839,1.26,36.61,0.7,16.24,1329.0,54.77,2.74,5.0
1840,1.62,41.4,0.7,20.92,1712.0,59.02,2.95,5.0
1841,3.15,61.68,0.7,40.75,3334.0,77.04,3.85,5.0
1842,2.44,52.29,0.7,31.57,2583.0,68.7,3.44,5.0
1843,1.9,45.18,0.7,24.62,2014.0,62.38,3.12,5.0
1844,2.21,49.29,0.7,28.64,2343.0,66.03,3.3,5.0
1845,2.86,57.9,0.7,37.06,3032.0,73.69,3.68,5.0
1846,3.07,60.68,0.7,39.77,3254.0,76.16,3.81,5.0
1847,2.67,55.3,0.7,34.52,2824.0,71.38,3.57,5.0
1848,2.94,58.98,0.7,38.11,3118.0,74.64,3.73,5.0
1849,2.04,46.99,0.7,26.39,2159.0,63.99,3.2,5.0
1850,1.53,40.23,0.7,19.78,1618.0,57.98,2.9,5.0
1851,1.57,40.78,0.7,20.31,1662.0,58.47,2.92,5.0
1852,2.43,52.1,0.7,31.39,2568.0,68.53,3.43,5.0
1853,2.41,51.86,0.7,31.15,2549.0,68.32,3.42,5.0
1854,2.56,53.9,0.7,33.15,2712.0,70.13,3.51,5.0
1855,2.85,57.68,0.7,36.84,3014.0,73.49,3.67,5.0
1856,2.56,53.84,0.7,33.09,2707.0,70.08,3.5,5.0
1857,1.38,38.2,0.7,17.8,1456.0,56.18,2.81,5.0
1858,1.93,45.55,0.7,24.98,2044.0,62.71,3.14,5.0
1859,1.35,37.84,0.7,17.44,1427.0,55.86,2.79,5.0
1860,1.94,45.66,0.7,25.09,2053.0,62.81,3.14,5.0
1861,1.97,46.11,0.7,25.53,2089.0,63.21,3.16,5.0
1862,1.81,44.0,0.7,23.47,1920.0,61.33,3.07,5.0
1863,3.34,64.19,0.7,43.21,3535.0,79.28,3.96,5.0
1864,2.49,52.91,0.7,32.18,2633.0,69.26,3.46,5.0
1865,2.16,48.56,0.7,27.93,2285.0,65.39,3.27,5.0
1866,3.03,60.06,0.7,39.17,3205.0,75.61,3.78,5.0
1867,1.26,36.73,0.7,16.35,1338.0,54.87,2.74,5.0
1868,1.67,42.09,0.7,21.6,1767.0,59.63,2.98,5.0
1869,2.58,54.1,0.7,33.34,2728.0,70.31,3.52,5.0
1870,3.19,62.18,0.7,41.24,3374.0,77.49,3.87,5.0
1871,3.04,60.25,0.7,39.36,3220.0,75.78,3.79,5.0
1872,1.95,45.79,0.7,25.21,2063.0,62.92,3.15,5.0
1873,1.96,45.88,0.7,25.3,2070.0,63.0,3.15,5.0
1874,1.46,39.39,0.7,18.96,1551.0,57.23,2.86,5.0
1875,1.62,41.39,0.7,20.91,1711.0,59.01,2.95,5.0
1876,2.1,47.76,0.7,27.15,2221.0,64.68,3.23,5.0
1877,1.14,35.09,0.7,14.75,1207.0,53.41,2.67,5.0
1878,2.55,53.8,0.7,33.05,2704.0,70.04,3.5,5.0
1879,2.72,56.05,0.7,35.25,2884.0,72.04,3.6,5.0
1880,3.25,63.03,0.7,42.07,3442.0,78.24,3.91,5.0
1881,3.06,60.44,0.7,39.54,3235.0,75.94,3.8,5.0
1882,2.72,55.98,0.7,35.18,2878.0,71.98,3.6,5.0
1883,1.95,45.84,0.7,25.26,2067.0,62.97,3.15,5.0
1884,2.21,49.31,0.7,28.66,2345.0,66.06,3.3,5.0
1885,3.03,60.16,0.7,39.27,3213.0,75.7,3.79,5.0
1886,2.92,58.6,0.7,37.74,3088.0,74.31,3.72,5.0
1887,1.83,44.16,0.7,23.63,1933.0,61.48,3.07,5.0
1888,3.13,61.44,0.7,40.52,3315.0,76.83,3.84,5.0
