,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type
0,1.59,41.0,0.7,20.53,1680.0,58.67,2.93,0.0
1,2.97,59.28,0.7,38.4,3142.0,74.91,3.75,0.0
2,1.91,45.29,0.7,24.73,2023.0,62.48,3.12,0.0
3,2.37,51.33,0.7,30.63,2506.0,67.84,3.39,0.0
4,1.9,45.21,0.7,24.65,2017.0,62.41,3.12,0.0
5,2.22,49.34,0.7,28.69,2347.0,66.08,3.3,0.0
6,2.92,58.7,0.7,37.84,3096.0,74.4,3.72,0.0
7,3.23,62.7,0.7,41.75,3416.0,77.96,3.9,0.0
8,2.11,47.93,0.7,27.3,2234.0,64.82,3.24,0.0
9,2.88,58.08,0.7,37.23,3046.0,73.84,3.69,0.0
10,2.46,52.58,0.7,31.85,2606.0,68.96,3.45,0.0
11,1.34,37.78,0.7,17.38,1422.0,55.8,2.79,0.0
12,2.35,51.09,0.7,30.4,2487.0,67.63,3.38,0.0
13,2.57,53.99,0.7,33.23,2719.0,70.21,3.51,0.0
14,3.1,60.98,0.7,40.06,3278.0,76.42,3.82,0.0
15,2.8,57.1,0.7,36.28,2968.0,72.98,3.65,0.0
16,2.03,46.81,0.7,26.22,2145.0,63.83,3.19,0.0
17,1.33,37.55,0.7,17.16,1404.0,55.6,2.78,0.0
18,2.6,54.36,0.7,33.6,2749.0,70.54,3.53,0.0
19,2.0,46.41,0.7,25.83,2113.0,63.48,3.17,0.0
20,2.07,47.4,0.7,26.79,2192.0,64.36,3.22,0.0
21,1.78,43.58,0.7,23.05,1886.0,60.96,3.05,0.0
22,2.9,58.4,0.7,37.55,3072.0,74.13,3.71,0.0
23,2.66,55.2,0.7,34.42,2816.0,71.29,3.56,0.0
24,1.48,39.56,0.7,19.13,1565.0,57.39,2.87,0.0
25,3.08,60.83,0.7,39.92,3266.0,76.29,3.81,0.0
26,1.43,38.86,0.7,18.44,1509.0,56.77,2.84,0.0
27,2.56,53.85,0.7,33.1,2708.0,70.09,3.5,0.0
28,1.54,40.4,0.7,19.95,1632.0,58.13,2.91,0.0
29,1.96,45.98,0.7,25.4,2078.0,63.09,3.15,0.0
30,1.78,43.53,0.7,23.0,1882.0,60.91,3.05,0.0
31,3.02,59.93,0.7,39.04,3194.0,75.49,3.77,0.0
32,2.5,53.06,0.7,32.33,2645.0,69.39,3.47,0.0
33,1.58,40.96,0.7,20.5,1677.0,58.63,2.93,0.0
34,1.74,43.01,0.7,22.5,1841.0,60.46,3.02,0.0
35,3.29,63.56,0.7,42.59,3485.0,78.72,3.94,0.0
36,1.39,38.43,0.7,18.02,1474.0,56.38,2.82,0.0
37,2.45,52.46,0.7,31.74,2597.0,68.86,3.44,0.0
38,2.16,48.54,0.7,27.9,2283.0,65.37,3.27,0.0
39,2.35,51.1,0.7,30.41,2488.0,67.64,3.38,0.0
40,3.17,61.99,0.7,41.05,3359.0,77.32,3.87,0.0
41,1.48,39.53,0.7,19.09,1562.0,57.36,2.87,0.0
42,2.08,47.51,0.7,26.9,2201.0,64.46,3.22,0.0
43,1.27,36.85,0.7,16.48,1348.0,54.98,2.75,0.0
44,1.72,42.78,0.7,22.27,1822.0,60.24,3.01,0.0
45,3.23,62.69,0.7,41.74,3415.0,77.94,3.9,0.0
46,1.63,41.51,0.7,21.03,1721.0,59.12,2.96,0.0
47,3.17,61.95,0.7,41.02,3356.0,77.29,3.86,0.0
48,1.88,44.88,0.7,24.32,1990.0,62.11,3.11,0.0
49,1.91,45.33,0.7,24.76,2026.0,62.51,3.13,0.0
50,1.91,45.29,0.7,24.73,2023.0,62.48,3.12,0.0
51,3.06,60.48,0.7,39.58,3238.0,75.98,3.8,0.0
52,1.29,37.03,0.7,16.65,1362.0,55.13,2.76,0.0
53,3.2,62.35,0.7,41.41,3388.0,77.64,3.88,0.0
54,1.98,46.16,0.7,25.58,2093.0,63.26,3.16,0.0
55,2.88,58.08,0.7,37.23,3046.0,73.84,3.69,0.0
56,2.79,56.95,0.7,36.13,2956.0,72.84,3.64,0.0
57,1.55,40.54,0.7,20.08,1643.0,58.26,2.91,0.0
58,2.9,58.4,0.7,37.55,3072.0,74.13,3.71,0.0
59,2.22,49.43,0.7,28.77,2354.0,66.16,3.31,0.0
60,1.97,46.01,0.7,25.43,2081.0,63.12,3.16,0.0
61,3.17,62.01,0.7,41.08,3361.0,77.34,3.87,0.0
62,1.43,38.96,0.7,18.54,1517.0,56.86,2.84,0.0
63,1.5,39.88,0.7,19.43,1590.0,57.67,2.88,0.0
64,2.61,54.54,0.7,33.77,2763.0,70.7,3.54,0.0
65,1.28,36.95,0.7,16.57,1356.0,55.07,2.75,0.0
66,2.29,50.35,0.7,29.68,2428.0,66.98,3.35,0.0
67,1.34,37.75,0.7,17.36,1420.0,55.78,2.79,0.0
68,1.78,43.5,0.7,22.98,1880.0,60.89,3.04,0.0
69,1.67,42.06,0.7,21.57,1765.0,59.61,2.98,0.0
70,1.2,35.83,0.7,15.47,1266.0,54.07,2.7,0.0
71,2.26,49.91,0.7,29.25,2393.0,66.59,3.33,0.0
72,2.68,55.5,0.7,34.71,2840.0,71.56,3.58,0.0
73,1.93,45.55,0.7,24.98,2044.0,62.71,3.14,0.0
74,3.3,63.66,0.7,42.69,3493.0,78.81,3.94,0.0
75,1.87,44.73,0.7,24.18,1978.0,61.98,3.1,0.0
76,3.36,64.49,0.7,43.5,3559.0,79.54,3.98,0.0
77,2.02,46.78,0.7,26.18,2142.0,63.8,3.19,0.0
78,2.82,57.36,0.7,36.53,2989.0,73.21,3.66,0.0
79,1.42,38.78,0.7,18.36,1502.0,56.69,2.83,0.0
80,2.58,54.15,0.7,33.39,2732.0,70.36,3.52,0.0
81,2.13,48.13,0.7,27.5,2250.0,65.0,3.25,0.0
82,2.14,48.29,0.7,27.66,2263.0,65.14,3.26,0.0
83,3.24,62.83,0.7,41.87,3426.0,78.07,3.9,0.0
84,1.74,43.04,0.7,22.53,1843.0,60.48,3.02,0.0
85,2.95,59.06,0.7,38.19,3125.0,74.72,3.74,0.0
86,3.31,63.76,0.7,42.79,3501.0,78.9,3.95,0.0
87,1.68,42.26,0.7,21.77,1781.0,59.79,2.99,0.0
88,2.77,56.65,0.7,35.84,2932.0,72.58,3.63,0.0
89,1.36,37.95,0.7,17.55,1436.0,55.96,2.8,0.0
90,1.25,36.55,0.7,16.18,1324.0,54.71,2.74,0.0
91,2.63,54.76,0.7,33.99,2781.0,70.9,3.55,0.0
92,2.27,50.01,0.7,29.35,2401.0,66.68,3.33,0.0
93,3.12,61.3,0.7,40.38,3304.0,76.71,3.84,0.0
94,1.19,35.76,0.7,15.41,1261.0,54.01,2.7,0.0
95,1.87,44.73,0.7,24.18,1978.0,61.98,3.1,0.0
96,2.25,49.78,0.7,29.11,2382.0,66.47,3.32,0.0
97,3.12,61.31,0.7,40.39,3305.0,76.72,3.84,0.0
98,2.94,58.94,0.7,38.07,3115.0,74.61,3.73,0.0
99,3.29,63.54,0.7,42.57,3483.0,78.7,3.94,0.0
100,1.2,35.91,0.7,15.56,1273.0,54.14,2.71,0.0
101,2.71,55.85,0.7,35.05,2868.0,71.87,3.59,0.0
102,2.57,54.04,0.7,33.28,2723.0,70.26,3.51,0.0
103,1.87,44.74,0.7,24.19,1979.0,61.99,3.1,0.0
104,2.96,59.23,0.7,38.35,3138.0,74.87,3.74,0.0
105,1.83,44.16,0.7,23.63,1933.0,61.48,3.07,0.0
106,1.22,36.14,0.7,15.78,1291.0,54.34,2.72,0.0
107,2.94,58.85,0.7,37.99,3108.0,74.53,3.73,0.0
108,2.57,53.95,0.7,33.2,2716.0,70.18,3.51,0.0
109,2.33,50.89,0.7,30.2,2471.0,67.46,3.37,0.0
110,2.45,52.48,0.7,31.75,2598.0,68.87,3.44,0.0
111,3.3,63.69,0.7,42.72,3495.0,78.83,3.94,0.0
112,2.68,55.45,0.7,34.66,2836.0,71.51,3.58,0.0
113,2.55,53.71,0.7,32.96,2697.0,69.97,3.5,0.0
114,3.29,63.6,0.7,42.63,3488.0,78.76,3.94,0.0
115,2.15,48.45,0.7,27.82,2276.0,65.29,3.26,0.0
116,1.25,36.59,0.7,16.22,1327.0,54.74,2.74,0.0
117,2.91,58.46,0.7,37.61,3077.0,74.19,3.71,0.0
118,2.9,58.39,0.7,37.53,3071.0,74.12,3.71,0.0
119,2.14,48.33,0.7,27.7,2266.0,65.18,3.26,0.0
120,1.84,44.41,0.7,23.87,1953.0,61.7,3.09,0.0
121,1.4,38.5,0.7,18.09,1480.0,56.44,2.82,0.0
122,1.76,43.3,0.7,22.78,1864.0,60.71,3.04,0.0
123,3.36,64.5,0.7,43.51,3560.0,79.56,3.98,0.0
124,1.65,41.83,0.7,21.34,1746.0,59.4,2.97,0.0
125,3.37,64.54,0.7,43.55,3563.0,79.59,3.98,0.0
126,1.97,46.14,0.7,25.56,2091.0,63.23,3.16,0.0
127,2.29,50.34,0.7,29.66,2427.0,66.97,3.35,0.0
128,2.46,52.58,0.7,31.85,2606.0,68.96,3.45,0.0
129,1.65,41.9,0.7,21.41,1752.0,59.47,2.97,0.0
130,2.54,53.61,0.7,32.87,2689.0,69.88,3.49,0.0
131,3.25,63.04,0.7,42.08,3443.0,78.26,3.91,0.0
132,1.86,44.58,0.7,24.03,1966.0,61.84,3.09,0.0
133,2.66,55.2,0.7,34.42,2816.0,71.29,3.56,0.0
134,1.71,42.64,0.7,22.13,1811.0,60.12,3.01,0.0
135,2.35,51.11,0.7,30.42,2489.0,67.66,3.38,0.0
136,2.57,54.0,0.7,33.24,2720.0,70.22,3.51,0.0
137,1.22,36.15,0.7,15.79,1292.0,54.36,2.72,0.0
138,2.96,59.24,0.7,38.37,3139.0,74.88,3.74,0.0
139,1.77,43.4,0.7,22.88,1872.0,60.8,3.04,0.0
140,2.2,49.11,0.7,28.47,2329.0,65.88,3.29,0.0
141,3.16,61.81,0.7,40.88,3345.0,77.17,3.86,0.0
142,2.07,47.46,0.7,26.85,2197.0,64.41,3.22,0.0
143,2.84,57.54,0.7,36.7,3003.0,73.37,3.67,0.0
144,1.8,43.88,0.7,23.34,1910.0,61.22,3.06,0.0
145,2.47,52.69,0.7,31.96,2615.0,69.06,3.45,0.0
146,1.81,44.0,0.7,23.47,1920.0,61.33,3.07,0.0
147,1.81,43.94,0.7,23.41,1915.0,61.28,3.06,0.0
148,1.37,38.09,0.7,17.69,1447.0,56.08,2.8,0.0
149,3.02,59.91,0.7,39.03,3193.0,75.48,3.77,0.0
150,1.97,46.1,0.7,25.52,2088.0,63.2,3.16,0.0
151,3.24,62.85,0.7,41.9,3428.0,78.09,3.9,0.0
152,3.13,61.45,0.7,40.53,3316.0,76.84,3.84,0.0
153,1.79,43.66,0.7,23.14,1893.0,61.03,3.05,0.0
154,1.15,35.24,0.7,14.9,1219.0,53.54,2.68,0.0
155,1.78,43.61,0.7,23.09,1889.0,60.99,3.05,0.0
156,3.13,61.39,0.7,40.47,3311.0,76.79,3.84,0.0
157,1.97,46.14,0.7,25.56,2091.0,63.23,3.16,0.0
158,3.13,61.46,0.7,40.54,3317.0,76.86,3.84,0.0
159,2.14,48.36,0.7,27.73,2269.0,65.21,3.26,0.0
160,2.88,58.16,0.7,37.31,3053.0,73.92,3.7,0.0
161,3.15,61.66,0.7,40.74,3333.0,77.03,3.85,0.0
162,2.71,55.83,0.7,35.03,2866.0,71.84,3.59,0.0
163,3.27,63.25,0.7,42.29,3460.0,78.44,3.92,0.0
164,1.64,41.71,0.7,21.23,1737.0,59.3,2.97,0.0
