,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,hp
432,1.73,55.16,0.7,25.6,2973.0,71.03,3.45,20
433,1.31,46.05,0.7,19.32,2244.0,62.93,3.05,20
434,1.33,46.59,0.7,19.69,2287.0,63.41,3.07,20
435,1.87,58.0,0.7,27.56,3200.0,73.56,3.58,20
436,1.68,53.98,0.7,24.78,2878.0,69.98,3.4,20
437,1.8,56.55,0.7,26.56,3084.0,72.27,3.51,20
438,1.16,42.83,0.7,17.1,1986.0,60.07,2.9,20
439,1.08,41.14,0.7,15.94,1851.0,58.57,2.83,20
440,1.66,53.55,0.7,24.49,2844.0,69.6,3.38,20
441,0.88,36.81,0.7,12.96,1505.0,54.72,2.64,20
442,1.19,43.46,0.7,17.54,2037.0,60.63,2.93,20
443,1.41,48.23,0.7,20.82,2418.0,64.87,3.14,20
444,1.42,48.53,0.7,21.03,2442.0,65.13,3.16,20
445,1.19,43.59,0.7,17.63,2047.0,60.74,2.94,20
446,1.99,60.61,0.7,29.36,3409.0,75.88,3.69,20
447,1.28,45.46,0.7,18.92,2197.0,62.41,3.02,20
448,0.73,33.74,0.7,10.84,1259.0,51.99,2.5,20
449,1.04,40.35,0.7,15.4,1788.0,57.87,2.79,20
450,1.63,52.88,0.7,24.03,2790.0,69.0,3.35,20
451,0.76,34.23,0.7,11.18,1298.0,52.42,2.52,20
452,1.73,55.0,0.7,25.49,2960.0,70.89,3.44,20
453,1.78,56.09,0.7,26.24,3047.0,71.86,3.49,20
454,1.8,56.61,0.7,26.6,3089.0,72.32,3.52,20
455,1.44,48.8,0.7,21.22,2464.0,65.38,3.17,20
456,1.89,58.53,0.7,27.92,3242.0,74.02,3.6,20
457,1.58,51.78,0.7,23.27,2702.0,68.02,3.3,20
458,2.01,61.0,0.7,29.62,3440.0,76.22,3.71,20
459,1.01,39.61,0.7,14.89,1729.0,57.21,2.76,20
460,1.8,56.55,0.7,26.56,3084.0,72.27,3.51,20
461,1.83,57.21,0.7,27.01,3137.0,72.86,3.54,20
