,air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,hp
801,0.62,45.11,0.7,10.0,2249.0,61.99,2.55,10
802,0.57,42.79,0.7,9.17,2063.0,59.92,2.45,10
803,0.45,37.41,0.7,7.26,1633.0,55.14,2.21,10
804,0.37,33.48,0.7,5.86,1318.0,51.64,2.03,10
805,0.51,39.95,0.7,8.16,1836.0,57.4,2.32,10
806,0.6,44.0,0.7,9.6,2160.0,61.0,2.5,10
807,0.61,44.5,0.7,9.78,2200.0,61.44,2.52,10
808,0.34,32.24,0.7,5.42,1219.0,50.54,1.98,10
809,0.39,34.49,0.7,6.22,1399.0,52.54,2.08,10
810,0.44,36.99,0.7,7.11,1599.0,54.77,2.19,10
811,0.44,36.69,0.7,7.0,1575.0,54.5,2.18,10
812,0.59,43.71,0.7,9.5,2137.0,60.74,2.49,10
813,0.64,45.89,0.7,10.27,2311.0,62.68,2.58,10
814,0.64,45.78,0.7,10.23,2302.0,62.58,2.58,10
815,0.47,38.36,0.7,7.6,1709.0,55.99,2.25,10
816,0.4,34.94,0.7,6.38,1435.0,52.94,2.1,10
817,0.97,60.8,0.7,15.57,3504.0,75.93,3.25,10
818,0.34,32.45,0.7,5.49,1236.0,50.73,1.99,10
819,0.65,46.21,0.7,10.39,2337.0,62.97,2.6,10
820,0.48,38.48,0.7,7.64,1718.0,56.09,2.25,10
821,0.34,32.24,0.7,5.42,1219.0,50.54,1.98,10
822,0.55,41.6,0.7,8.75,1968.0,58.87,2.39,10
823,0.96,60.3,0.7,15.4,3464.0,75.49,3.22,10
824,0.83,54.53,0.7,13.34,3002.0,70.36,2.97,10
825,0.35,32.59,0.7,5.54,1247.0,50.86,1.99,10
826,0.72,49.21,0.7,11.45,2577.0,65.63,2.73,10
827,0.71,48.94,0.7,11.36,2555.0,65.39,2.72,10
828,0.89,57.21,0.7,14.3,3217.0,72.74,3.09,10
829,0.76,51.36,0.7,12.22,2749.0,67.54,2.83,10
830,0.63,45.51,0.7,10.14,2281.0,62.34,2.57,10
831,0.66,46.64,0.7,10.54,2371.0,63.34,2.62,10
832,0.91,57.83,0.7,14.52,3266.0,73.29,3.11,10
833,0.47,38.0,0.7,7.47,1680.0,55.67,2.23,10
834,0.44,36.81,0.7,7.04,1585.0,54.61,2.18,10
835,0.47,38.29,0.7,7.57,1703.0,55.92,2.25,10
836,0.54,41.26,0.7,8.63,1941.0,58.57,2.38,10
837,0.58,42.94,0.7,9.22,2075.0,60.06,2.45,10
838,0.45,37.38,0.7,7.24,1630.0,55.11,2.21,10
839,0.97,60.83,0.7,15.58,3506.0,75.96,3.25,10
840,0.85,55.3,0.7,13.62,3064.0,71.04,3.0,10
841,0.74,50.2,0.7,11.8,2656.0,66.51,2.78,10
842,0.37,33.44,0.7,5.84,1315.0,51.61,2.03,10
843,0.87,56.31,0.7,13.98,3145.0,71.94,3.05,10
844,0.9,57.7,0.7,14.47,3256.0,73.18,3.11,10
845,0.35,32.63,0.7,5.56,1250.0,50.89,1.99,10
